,date,dji
150,2022-09-07,8860406.681975415
151,2022-09-08,8956083.582922833
152,2022-09-09,9068247.170504078
153,2022-09-12,9148832.574563473
154,2022-09-13,9105309.433194024
155,2022-09-14,8859094.836897818
156,2022-09-15,8854446.426936286
157,2022-09-16,8781029.775605038
158,2022-09-19,8740135.325070877
159,2022-09-20,8787265.623680376
160,2022-09-21,8767596.83761436
161,2022-09-22,8592676.381765699
162,2022-09-23,8521877.30864731
163,2022-09-26,8402732.771656945
164,2022-09-27,8369459.913214864
165,2022-09-28,8306600.253189989
166,2022-09-29,8396158.54422868
167,2022-09-30,8285010.650337335
168,2022-10-03,8208831.956701666
169,2022-10-04,8485184.540653085
170,2022-10-05,8556785.945110757
171,2022-10-06,8593134.777440842
172,2022-10-07,8444958.514357952
173,2022-10-10,8369234.882610702
174,2022-10-11,8274248.6311471695
175,2022-10-12,8316312.685191852
176,2022-10-13,8180548.66572965
177,2022-10-14,8589174.79443871
178,2022-10-17,8551443.55187861
179,2022-10-18,8732926.566901987
180,2022-10-19,8659393.233035248
181,2022-10-20,8651678.294914775
182,2022-10-21,8617329.734621687
183,2022-10-24,8872266.628261443
184,2022-10-25,8950877.874946548
185,2022-10-26,9029050.728676878
186,2022-10-27,9121138.252580129
187,2022-10-28,9161583.197537087
188,2022-10-31,9318037.253066417
189,2022-11-01,9348909.229432981
190,2022-11-02,9267402.033343202
191,2022-11-03,9099207.492218941
192,2022-11-04,9178851.101527585
193,2022-11-07,9232643.97291365
194,2022-11-08,9369326.450619506
195,2022-11-09,9389214.71097847
196,2022-11-10,9463021.415356932
197,2022-11-11,9614889.847241446
198,2022-11-14,9576285.708189648
199,2022-11-15,9602996.007457014
200,2022-11-16,9545811.563705998
201,2022-11-17,9481615.055203063
202,2022-11-18,9560508.006866712
203,2022-11-21,9604236.176119952
204,2022-11-22,9618389.21204395
205,2022-11-23,9698476.770618582
206,2022-11-25,9733032.581319949
207,2022-11-28,9750918.34711743
208,2022-11-29,9629128.450358137
209,2022-11-30,9614229.757469239
210,2022-12-01,9824223.8722244
211,2022-12-02,9747942.386831276
212,2022-12-05,9767936.217103304
213,2022-12-06,9654467.452017918
214,2022-12-07,9546229.398309281
215,2022-12-08,9585934.798243674
216,2022-12-09,9600370.094777334
217,2022-12-12,9535732.415164018
218,2022-12-13,9748793.613709243
219,2022-12-14,9696912.113380753
220,2022-12-15,9607848.889671218
221,2022-12-16,9435298.756186396
222,2022-12-19,9365597.05453275
223,2022-12-20,9312623.739050733
224,2022-12-21,9395934.513760537
225,2022-12-22,9454328.010831695
226,2022-12-23,9376865.2536745
227,2022-12-27,9451733.213494813
228,2022-12-28,9463263.670525858
229,2022-12-29,9394039.811636604
230,2022-12-30,9422539.243114842
231,2023-01-03,9430302.521142876
232,2023-01-04,9434923.149548339
233,2023-01-05,9442484.177848186
234,2023-01-06,9403675.566543717
235,2023-01-09,9576951.35427307
236,2023-01-10,9534858.963041196
237,2023-01-11,9602452.600220297
238,2023-01-12,9686041.746121917
239,2023-01-13,9693850.585901905
240,2023-01-17,9735672.940408785
241,2023-01-18,9657772.345927935
242,2023-01-19,9436690.056514353
243,2023-01-20,9408841.824710384
244,2023-01-23,9512990.433365604
245,2023-01-24,9514458.41078831
246,2023-01-25,9541097.589272141
247,2023-01-26,9607467.726721946
248,2023-01-27,9659035.851097971
249,2023-01-30,9646598.604076821
250,2023-01-31,9616542.294196455
251,2023-02-01,9683692.537740689
252,2023-02-02,9709210.452621557
253,2023-02-03,9651460.376388967
254,2023-02-06,9636707.258853871
255,2023-02-07,9606933.209583169
256,2023-02-08,9710233.925147153
257,2023-02-09,9702470.64711912
258,2023-02-10,9578984.964177351
259,2023-02-13,9640391.093188673
260,2023-02-14,9727641.848180242
261,2023-02-15,9674881.339417716
262,2023-02-16,9670176.255081803
263,2023-02-17,9580541.84257948
264,2023-02-21,9586993.831161039
265,2023-02-22,9436114.422672594
266,2023-02-23,9437839.101673383
267,2023-02-24,9387713.39568848
268,2023-02-27,9361247.574114524
269,2023-02-28,9351947.42040473
270,2023-03-01,9290186.24310684
271,2023-03-02,9325632.730495792
272,2023-03-03,9409657.49119658
273,2023-03-06,9508939.882490685
274,2023-03-07,9509789.998106409
275,2023-03-08,9351551.811046302
276,2023-03-09,9352903.105933517
277,2023-03-10,9156129.678080663
278,2023-03-13,9052233.32595455
279,2023-03-14,9119189.0986063
280,2023-03-15,9035147.113340748
281,2023-03-16,9054429.7357774
282,2023-03-17,9165284.256436653
283,2023-03-20,9067140.353310272
284,2023-03-21,9223145.45889352
285,2023-03-22,9265669.575506713
286,2023-03-23,9132332.552782733
287,2023-03-24,9114333.43823649
288,2023-03-27,9182182.665731428
289,2023-03-28,9227167.67258125
290,2023-03-29,9264631.100940838
291,2023-03-30,9333160.420928357
292,2023-03-31,9360052.967203539
293,2023-04-03,9457864.04728821
294,2023-04-04,9557150.883631285
