date,dji
2022-08-30,9150069.965070805
2022-08-31,9054287.494210323
2022-09-01,8948297.524018822
2022-09-02,9060361.097998217
2022-09-06,8916779.348658083
2022-09-07,8860406.681975415
2022-09-08,8956083.582922833
2022-09-09,9068247.170504078
2022-09-12,9148832.574563473
2022-09-13,9105309.433194024
2022-09-14,8859094.836897818
2022-09-15,8854446.426936286
2022-09-16,8781029.775605038
2022-09-19,8740135.325070877
2022-09-20,8787265.623680376
2022-09-21,8767596.83761436
2022-09-22,8592676.381765699
2022-09-23,8521877.30864731
2022-09-26,8402732.771656945
2022-09-27,8369459.913214864
2022-09-28,8306600.253189989
2022-09-29,8396158.54422868
2022-09-30,8285010.650337335
2022-10-03,8208831.956701666
2022-10-04,8485184.540653085
2022-10-05,8556785.945110757
2022-10-06,8593134.777440842
2022-10-07,8444958.514357952
2022-10-10,8369234.882610702
2022-10-11,8274248.6311471695
2022-10-12,8316312.685191852
2022-10-13,8180548.66572965
2022-10-14,8589174.79443871
2022-10-17,8551443.55187861
2022-10-18,8732926.566901987
2022-10-19,8659393.233035248
2022-10-20,8651678.294914775
2022-10-21,8617329.734621687
2022-10-24,8872266.628261443
2022-10-25,8950877.874946548
2022-10-26,9029050.728676878
2022-10-27,9121138.252580129
2022-10-28,9161583.197537087
2022-10-31,9318037.253066417
2022-11-01,9348909.229432981
2022-11-02,9267402.033343202
2022-11-03,9099207.492218941
2022-11-04,9178851.101527585
2022-11-07,9232643.97291365
2022-11-08,9369326.450619506
2022-11-09,9389214.71097847
2022-11-10,9463021.415356932
2022-11-11,9614889.847241446
2022-11-14,9576285.708189648
2022-11-15,9602996.007457014
2022-11-16,9545811.563705998
2022-11-17,9481615.055203063
2022-11-18,9560508.006866712
2022-11-21,9604236.176119952
2022-11-22,9618389.21204395
2022-11-23,9698476.770618582
2022-11-25,9733032.581319949
2022-11-28,9750918.34711743
2022-11-29,9629128.450358137
2022-11-30,9614229.757469239
2022-12-01,9824223.8722244
2022-12-02,9747942.386831276
2022-12-05,9767936.217103304
2022-12-06,9654467.452017918
2022-12-07,9546229.398309281
2022-12-08,9585934.798243674
2022-12-09,9600370.094777334
2022-12-12,9535732.415164018
2022-12-13,9748793.613709243
2022-12-14,9696912.113380753
2022-12-15,9607848.889671218
2022-12-16,9435298.756186396
2022-12-19,9365597.05453275
2022-12-20,9312623.739050733
2022-12-21,9395934.513760537
2022-12-22,9454328.010831695
2022-12-23,9376865.2536745
2022-12-27,9451733.213494813
2022-12-28,9463263.670525858
2022-12-29,9394039.811636604
2022-12-30,9422539.243114842
2023-01-03,9430302.521142876
2023-01-04,9434923.149548339
2023-01-05,9442484.177848186
2023-01-06,9403675.566543717
2023-01-09,9576951.35427307
2023-01-10,9534858.963041196
2023-01-11,9602452.600220297
2023-01-12,9686041.746121917
2023-01-13,9693850.585901905
2023-01-17,9735672.940408785
2023-01-18,9657772.345927935
2023-01-19,9436690.056514353
2023-01-20,9408841.824710384
2023-01-23,9512990.433365604
2023-01-24,9514458.41078831
2023-01-25,9541097.589272141
2023-01-26,9607467.726721946
2023-01-27,9659035.851097971
2023-01-30,9646598.604076821
2023-01-31,9616542.294196455
2023-02-01,9683692.537740689
2023-02-02,9709210.452621557
2023-02-03,9651460.376388967
2023-02-06,9636707.258853871
2023-02-07,9606933.209583169
2023-02-08,9710233.925147153
2023-02-09,9702470.64711912
2023-02-10,9578984.964177351
2023-02-13,9640391.093188673
2023-02-14,9727641.848180242
2023-02-15,9674881.339417716
2023-02-16,9670176.255081803
2023-02-17,9580541.84257948
2023-02-21,9586993.831161039
2023-02-22,9436114.422672594
2023-02-23,9437839.101673383
2023-02-24,9387713.39568848
2023-02-27,9361247.574114524
2023-02-28,9351947.42040473
2023-03-01,9290186.24310684
2023-03-02,9325632.730495792
2023-03-03,9409657.49119658
2023-03-06,9508939.882490685
2023-03-07,9509789.998106409
2023-03-08,9351551.811046302
2023-03-09,9352903.105933517
2023-03-10,9156129.678080663
2023-03-13,9052233.32595455
2023-03-14,9119189.0986063
2023-03-15,9035147.113340748
2023-03-16,9054429.7357774
2023-03-17,9165284.256436653
2023-03-20,9067140.353310272
2023-03-21,9223145.45889352
2023-03-22,9265669.575506713
2023-03-23,9132332.552782733
2023-03-24,9114333.43823649
2023-03-27,9182182.665731428
2023-03-28,9227167.67258125
2023-03-29,9264631.100940838
2023-03-30,9333160.420928357
2023-03-31,9360052.967203539
2023-04-03,9457864.04728821
2023-04-04,9557150.883631285
2023-04-05,9500200.916213494
2023-04-06,9507699.713827748
2023-04-10,9508919.879770316
2023-04-11,9554863.905935653
2023-04-12,9605348.549624972
2023-04-13,9578253.753621604
2023-04-14,9667223.631302746
2023-04-17,9652643.870677523
2023-04-18,9662515.213180104
2023-04-19,9641084.520828165
2023-04-20,9598632.080629632
2023-04-21,9613709.686739618
2023-04-24,9616963.462586468
2023-04-25,9623592.141864626
2023-04-26,9557592.054741668
