date,ensemble
2023-03-28,9474179.43962051
2023-03-29,9526066.043346494
2023-03-30,9542497.605837137
2023-03-31,9605138.089193111
2023-04-03,9595968.64443506
2023-04-04,9493743.399623545
2023-04-05,9498517.863441383
2023-04-06,9497341.934521846
2023-04-10,9537891.43449128
2023-04-11,9580643.136991473
2023-04-12,9594229.457354993
2023-04-13,9629091.988547772
2023-04-14,9633928.286038753
2023-04-17,9636220.086085204
2023-04-18,9634746.65904757
2023-04-19,9620745.894145066
2023-04-20,9606352.642047722
2023-04-21,9609416.000968715
2023-04-24,9648823.727006525
2023-04-25,9585668.15027864
2023-04-26,9505347.721416576
2023-04-27,9589296.78111414
2023-04-28,9625517.38699659
2023-05-01,9647408.218342911
2023-05-02,9597001.166952074
2023-05-03,9569691.36923343
2023-05-04,9521422.247010851
2023-05-05,9609985.637589589
2023-05-08,9593237.910745071
2023-05-09,9567276.87433311
2023-05-10,9581915.823479827
2023-05-11,9559839.90140074
2023-05-12,9541517.938557403
2023-05-15,9582578.917437166
2023-05-16,9508082.0614024
2023-05-17,9552628.941665731
2023-05-18,9571847.79963259
2023-05-19,9575728.616527963
2023-05-22,9565223.653876424
2023-05-23,9510441.30181592
2023-05-24,9454579.94156067
2023-05-25,9490238.931335866
2023-05-26,9531154.441122606
2023-05-30,9519538.872551916
2023-05-31,9457381.776272884
2023-06-01,9512825.47308292
2023-06-02,9648695.555486271
2023-06-05,9628882.223419886
2023-06-06,9629541.25143862
2023-06-07,9649691.804376991
2023-06-08,9689053.65779842
2023-06-09,9661838.460685384
2023-06-12,9750478.83865936
2023-06-13,9804563.056463972
2023-06-14,9785778.352231992
2023-06-15,9858954.084137704
2023-06-16,9841808.349387908
2023-06-20,9769755.277045624
2023-06-21,9783176.968459776
2023-06-22,9797897.93003524
2023-06-23,9757148.5861915
2023-06-26,9780367.275523815
2023-06-27,9851219.068920758
2023-06-28,9864459.36324882
2023-06-29,9879354.80929669
2023-06-30,9949056.601654332
2023-07-03,9926659.942828355
2023-07-05,9899376.660461156
2023-07-06,9845053.976030435
2023-07-07,9820020.134835782
2023-07-10,9911584.855037617
2023-07-11,9927426.10908501
2023-07-12,9966838.524666844
2023-07-13,9998621.712328
2023-07-14,9990767.078186205
2023-07-17,10033987.047270628
2023-07-18,10049108.473523011
2023-07-19,10075564.485613022
2023-07-20,10095100.852235714
2023-07-21,10137892.011845447
2023-07-24,10124160.003688153
2023-07-25,10122684.122471884
2023-07-26,10073033.575959392
2023-07-27,10063355.114634268
2023-07-28,10114292.08832824
2023-07-31,10120218.441577123
2023-08-01,10080806.841081817
2023-08-02,10091920.439042158
2023-08-03,10000567.048695777
2023-08-04,9944979.996720145
2023-08-07,10019073.98606772
2023-08-08,9999386.87436957
2023-08-09,9996025.015109193
2023-08-10,10001883.937360013
2023-08-11,9995330.93702382
2023-08-14,10006072.65878752
2023-08-15,9951647.798783086
2023-08-16,9847899.956743032
2023-08-17,9819117.05566564
2023-08-18,9833755.903323265
2023-08-21,9893669.93060214
2023-08-22,9878181.37081433
2023-08-23,9935589.87763675
2023-08-24,9850907.861216422
2023-08-25,9893205.660130218
2023-08-28,9933865.547448529
2023-08-29,9988332.392528048
2023-08-30,10011771.488277232
2023-08-31,9975923.243704066
2023-09-01,10019721.759793617
2023-09-05,9937310.30953553
2023-09-06,9908364.460393457
2023-09-07,9869537.9962703
2023-09-08,9837650.211581731
2023-09-11,9852272.388369994
2023-09-12,9848838.89759088
2023-09-13,9865397.3368373
2023-09-14,9951968.110523138
2023-09-15,9909866.560724324
2023-09-18,9930258.472108526
2023-09-19,9973633.325389547
2023-09-20,9917642.149804372
2023-09-21,9801896.018710012
2023-09-22,9754165.303747624
2023-09-25,9781112.583390469
2023-09-26,9710127.76691994
2023-09-27,9699057.872412344
2023-09-28,9743738.12778744
2023-09-29,9659283.425172657
2023-10-02,9578920.87440285
2023-10-03,9488549.456904972
2023-10-04,9584482.892776096
2023-10-05,9566125.049649304
2023-10-06,9652945.196078956
2023-10-09,9614117.086187309
2023-10-10,9721710.252035577
2023-10-11,9801499.212818062
2023-10-12,9671647.634183288
2023-10-13,9677950.422661852
2023-10-16,9791240.528435066
2023-10-17,9824905.24072522
2023-10-18,9596076.016751893
2023-10-19,9529007.961372456
2023-10-20,9429948.779041652
2023-10-23,9458661.36643436
2023-10-24,9509969.25597957
2023-10-25,9358079.405775022
2023-10-26,9343135.823770436
2023-10-27,9211758.034863206
2023-10-30,9269822.678132173
2023-10-31,9347970.506740188
2023-11-01,9421096.709376909
2023-11-02,9671470.25996048
2023-11-03,9809248.217283456
2023-11-06,9842704.20610696
2023-11-07,9773561.838030009
2023-11-08,9737039.453437228
2023-11-09,9603643.720819963
2023-11-10,9730286.976012114
2023-11-13,9783484.94988606
2023-11-14,9862371.431709277
2023-11-15,9717614.057316622
2023-11-16,9646990.433228446
2023-11-17,9736032.470035084
2023-11-20,9800459.776204176
2023-11-21,9771806.026816992
2023-11-22,9805537.25055698
2023-11-24,9834438.870676182
2023-11-27,9786917.489876766
2023-11-28,9751703.348607907
2023-11-29,9828729.90135854
2023-11-30,9907804.147622043
2023-12-01,9979415.107990544
2023-12-04,9951612.819420682
2023-12-05,9899066.14626701
2023-12-06,9911241.772001011
2023-12-07,9942944.423345052
2023-12-08,9941969.665695475
