,account_value,date,daily_return,datadate
131,10081108.975276902,2022-08-10,0.0186964768762627,2022-08-10
132,10080869.489962723,2022-08-11,-2.375585015146342e-05,2022-08-11
133,10184224.608814936,2022-08-12,0.0102525996348945,2022-08-12
134,10230843.294130642,2022-08-15,0.0045775389984383,2022-08-15
135,10201255.918013318,2022-08-16,-0.0028919782335341,2022-08-16
136,10103677.061014872,2022-08-17,-0.0095653768303314,2022-08-17
137,10125535.578198176,2022-08-18,0.0021634219949135,2022-08-18
138,10025287.58111184,2022-08-19,-0.0099005130456688,2022-08-19
139,9837254.937129144,2022-08-22,-0.0187558354273008,2022-08-22
140,9808562.500605706,2022-08-23,,2022-08-23
141,9834855.37793209,2022-08-24,0.0026806045559439,2022-08-24
142,9988165.384441491,2022-08-25,0.0155884352761714,2022-08-25
143,9706668.701784424,2022-08-26,-0.028183021788521,2022-08-26
144,9623240.03544056,2022-08-29,-0.00859498442844,2022-08-29
145,9552380.50463248,2022-08-30,-0.0073633755935753,2022-08-30
146,9511046.34369078,2022-08-31,-0.0043271057849563,2022-08-31
147,9524084.451682469,2022-09-01,0.0013708384462174,2022-09-01
148,9444752.584352806,2022-09-02,-0.0083296056153353,2022-09-02
149,9410948.579661468,2022-09-06,-0.0035791307807619,2022-09-06
150,9556231.6900222,2022-09-07,0.0154376691287754,2022-09-07
151,9695373.519281195,2022-09-08,0.0145603239616172,2022-09-08
152,9799811.740780665,2022-09-09,0.0107719647202628,2022-09-09
153,9852595.392513094,2022-09-12,0.00538619038086,2022-09-12
154,9507942.379977664,2022-09-13,-0.0349809363731031,2022-09-13
155,9510084.577272732,2022-09-14,0.0002253060872117,2022-09-14
156,9434397.88456544,2022-09-15,-0.0079585719866432,2022-09-15
157,9392126.853107989,2022-09-16,-0.0044805224429435,2022-09-16
158,9413089.846142156,2022-09-19,0.0022319750746586,2022-09-19
159,9310762.964056768,2022-09-20,-0.0108707006687422,2022-09-20
160,9195421.534174718,2022-09-21,,2022-09-21
161,9103474.600749768,2022-09-22,-0.0099992080932047,2022-09-22
162,8998914.591381084,2022-09-23,-0.011485725391058,2022-09-23
163,8895369.384128964,2022-09-26,-0.0115064107121645,2022-09-26
164,8895612.7520424,2022-09-27,2.7358944067135127e-05,2022-09-27
165,9075528.951685537,2022-09-28,0.0202252733631898,2022-09-28
166,9007882.102067769,2022-09-29,-0.0074537638497866,2022-09-29
167,8926833.299170697,2022-09-30,-0.0089975425942204,2022-09-30
168,9173874.322058896,2022-10-03,0.027673981871169,2022-10-03
169,9419351.470899418,2022-10-04,0.026758285564286,2022-10-04
170,9438374.01617606,2022-10-05,0.0020195175151294,2022-10-05
171,9337551.36256793,2022-10-06,-0.0106822057946988,2022-10-06
172,9115554.93694785,2022-10-07,-0.0237745868269074,2022-10-07
173,9014061.78424767,2022-10-10,-0.0111340618757943,2022-10-10
174,8931470.121759687,2022-10-11,-0.0091625356542723,2022-10-11
175,8873677.639941106,2022-10-12,-0.0064706572412733,2022-10-12
176,9052709.61157845,2022-10-13,0.0201756226563276,2022-10-13
177,8866602.96392506,2022-10-14,-0.0205581152647775,2022-10-14
178,9064739.968681194,2022-10-17,0.0223464392803287,2022-10-17
179,9200038.715966009,2022-10-18,0.0149258277404835,2022-10-18
180,9074191.204781314,2022-10-19,,2022-10-19
181,8996714.737739544,2022-10-20,-0.0085381126861142,2022-10-20
182,9226828.7859239,2022-10-21,0.0255775641322792,2022-10-21
183,9381447.883578075,2022-10-24,0.0167575557368155,2022-10-24
